property_id,parcel_id,permit_number,permit_type,work_type,occupancy_type,status,milestone,value,dwelling_units_new,dwelling_units_eliminated,issue_date,complete_date,work_description,match_method,source_id
parcel-3602924440189,3602924440189,BLDG1116240,Mechanical,ExistRes,SFD,Closed,Closed,,,,2025-05-01,2025-06-04,Replace Furnace and AC with Goodman 96% 2-stage w/ ECM furnace and Goodman 2 ton 13.4 Seer2 Air Conditioner,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924440189,3602924440189,BLDG1003099,Plumbing,Res,,Closed,Closed,,,,2023-06-23,2025-02-12,replace gas dryer,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924440189,3602924440189,BLDG974723,Res,Misc,SFD,Closed,Closed,7100.0,,,2022-12-12,2025-02-12,Remove existing asphalt shingles at house and garage and replace with new architectural asphalt shingles,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924440189,3602924440189,BLDG659441,Mechanical,ExistRes,SFD,Closed,Closed,,,,2017-06-07,2019-11-13,replace a/c,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924320055,3602924320055,BLDG941175,Plumbing,Res,,Closed,Closed,,,,2022-04-28,2024-05-09,RUN NEW DRYER GAS LINE AND INSTALL DRYER,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924320010,3602924320010,BLDG1179914,Plumbing,Res,,Issued,Inspection,,,,2026-05-13,,Replace 40 gallon power vent water heater,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924320010,3602924320010,BLDG1160426,Plumbing,Res,SFD,Closed,Closed,,,,2025-12-30,2026-04-13,METER MOVE Q4 - 2025 BATCH #13,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924220010,3602924220010,BLDG1084662,Commercial,RoofWind,MFD,Closed,Closed,2241052.0,,,2024-09-26,2025-07-28,"WINDOW REPLACEMENT This permit authorizes the removal and installation of 682 windows. (sza) 1. For one- or two-family dwellings, windows installed under this permit shall meet the requirements of the current Minnesota State Residential Code. 2. F",parcel_apn,minneapolis_ccs_permits_current
parcel-3602924220010,3602924220010,BLDG792697,Commercial,Remodel,Comm,Closed,Closed,10000.0,,,2020-06-09,2024-09-23,"MODIFIY ANTENNAS AND ROOFTOP EQUIPMENT, T-MOBILE ALSO ADDING GUARDRAILS. ENGR: GAUTAM MEDHI # 40356",parcel_apn,minneapolis_ccs_permits_current
parcel-3602924220010,3602924220010,BLDG766997,Commercial,Remodel,MFD,Closed,Closed,7000.0,,,2019-05-03,2020-05-11,CONSTRUCT 1 HR ELECTRICAL ROOM ON 1ST FLOOR. SCK********* ARCHITECT: ADSIT*********,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924220010,3602924220010,BLDG751708,Commercial,Remodel,MFD,Closed,Closed,7500.0,,,2019-03-12,2019-04-22,"INSTALL TELECOMMUNICATIONS - NEW 4' X 8' PLATFORM & GENERATOR AT GRADE, FENCED ENCLOSURE SOUTH OF BUILDING ON MINNEHAHA AVENUE SIDE CONDUITS ROUTED TO ROOFTOP EQUIPMENT SHALL NOT BE ROUTED THROUGH STAIR ENCLOSURES. FIRESTOP FLOOR PENETRATION IF NOT IN R",parcel_apn,minneapolis_ccs_permits_current
parcel-3602924220010,3602924220010,BLDG745073,Plumbing,ComNoFdBv,MFD,Closed,Closed,,,,2018-12-06,2019-06-27,,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924220010,3602924220010,BLDG743570,Commercial,Remodel,MFD,Closed,Closed,765900.0,,,2018-11-26,2020-05-11,GENERAL REMODEL FOR WASTE AND VENT REPLACEMENT FOR 110 UNITS certificate of occupancy required: no special inspections required: no occupancy: R2 2015 MSBC architect: Adsit engineer: Martin Pevzner windows with sill heights le,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924220010,3602924220010,BLDG692342,Commercial,Remodel,Comm,Closed,Closed,7500.0,,,2018-02-16,2019-01-08,SAFETY UPGRADES TO ROOFTOP ANTENNA BUILDING ADDING RAILING AND CRANE. EXISTING ROOF WAS CHECKED. ASSOCIATED ENGINEERING INC. PE: GUATAM (TOM) MEDHI PE 40356,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924220010,3602924220010,BLDG656281,Commercial,Remodel,MFD,Closed,Closed,1.0,,,2017-05-24,2019-01-08,"***NOTE: THIS PROJECT IS EXEMPTED FROM PERMIT PER 2015 MN. RESIDENTIAL CODE SECTION 1300.0120 - SUBP.#4 - ITEM #1. AAJ*** CONSTRUCT DETACHED 10'0"" BY 10'0"" WOOD FRAME SHED ADDITION TO EXISTING 100 SQ. FT. SHED. AAJ#2 GENERAL COMMENTS: APPLICANT",parcel_apn,minneapolis_ccs_permits_current
parcel-3602924210481,3602924210481,BLDG922290,Plumbing,Res,,Closed,Closed,,,,2021-12-29,2023-12-29,Replace one gas water heater. [contact omitted],parcel_apn,minneapolis_ccs_permits_current
parcel-3602924210093,3602924210093,BLDG974393,Mechanical,ComMFDNR,MFD,Closed,Closed,44000.0,,,2023-01-19,2024-02-01,Above ceiling duct systems installed at factory. Plans and spec. attached.,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924210093,3602924210093,BLDG974264,Plumbing,ComMin,MFD,Closed,Closed,,,,2022-12-08,2023-09-13,Complete plumbing per plans. Note: The project is modular construction. USM will be field installing crawl space and module connections. Pre-fab will be installing and inspections on the branch piping and setting fixtures. Fee is to be 50% of the calcula,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924210093,3602924210093,BLDG974189,Mechanical,TempHeat,MFD,Closed,Closed,,,,2022-12-06,2023-08-31,TEMPORARY HEATER,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924210093,3602924210093,BLDG931213,Commercial,New,3to4,Closed,Closed,1250414.0,4,,2022-12-06,2025-11-17,SITE 15 - NEW 4 UNIT RESIDENTIAL BLDG. MODULAR CONSTRUCTION. SPECIAL INSPECTOR REQUIRED TO INSPECT MODULAR CONNECTIONS. All off-site constructed modular components must be certified and bear the IBC Seal and Data Plate per MN Rule 1361.0400 ****REVI,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924210093,3602924210093,BLDG952324,Wrecking,Private,SFD,Closed,Closed,7000.0,,,2022-11-21,2025-01-09,Wreck SFD affiliated w/PDR (PLAN13426) - 1 SAC Credit,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924210093,3602924210093,BLDG879293,Plumbing,Res,,Closed,Closed,,,,2021-03-31,2023-11-09,Replace one gas water heater,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924210062,3602924210062,BLDG931311,Commercial,New,MFD,Closed,Closed,1499952.0,6,,2023-02-03,2025-02-20,SITE 5. NEW 6 UNIT RESIDENTIAL BLDG. MODULAR CONSTRUCTION. SPECIAL INSPECTOR REQUIRED TO INSPECT MODULAR CONNECTIONS. (JJL) ALL OFF-SITE CONSTRUCTED MODULAR COMPONENTS MUST BE CERTIFIED AND BEAR THE IBC SEAL AND DATA PLATE PER MN RULE 1361. XXXXXXX,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924210062,3602924210062,BLDG950453,Wrecking,CPEDREDS,SFD,Closed,Closed,7000.0,,,2023-02-02,2025-01-09,"Wrecking a single family dwelling affiliated w/PDR (PLAN13421), 1 SAC unit.",parcel_apn,minneapolis_ccs_permits_current
parcel-3602924210062,3602924210062,BLDG974392,Mechanical,ComMFDNR,MFD,Closed,Closed,66000.0,,,2023-01-19,2023-10-23,"HVAC for 3 story 6 dwelling units modular construction, installing furnace with DX coil and condensing units, exhaust fans, electric baseboard heaters, electric unit heaters, electric wall heaters, GRDs and all associated ductwork. Refer to attached draw",parcel_apn,minneapolis_ccs_permits_current
parcel-3602924210062,3602924210062,BLDG974254,Plumbing,ComMin,MFD,Closed,Closed,,,,2022-12-08,2023-10-18,Complete plumbing per plans. Note: The project is modular construction. USM will be field installing crawl space and module connections. Pre-fab will be installing and inspections on the branch piping and setting fixtures. Fee is to be 50% of the calcula,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924210062,3602924210062,BLDG974188,Mechanical,TempHeat,MFD,Closed,Closed,,,,2022-12-06,2023-10-18,TEMPORARY HEATER,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924120124,3602924120124,BLDG1109255,Res,Misc,SFD,Closed,Closed,26929.0,,,2025-03-13,2025-05-13,"EXTERIOR WORK: New Roof, New Siding, New Gutters",parcel_apn,minneapolis_ccs_permits_current
parcel-3602924120124,3602924120124,BLDG922363,Plumbing,Res,,Closed,Closed,,,,2021-12-29,2023-12-29,Replace one gas water heater. [contact omitted],parcel_apn,minneapolis_ccs_permits_current
parcel-3602924120115,3602924120115,BLDG974417,Res,Misc,SFD,Closed,Closed,7500.0,,,2022-12-08,2023-04-20,Remove existing asphalt shingles at house and garage and replace with new architectural asphalt shingles,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924120115,3602924120115,BLDG961322,Res,Misc,SFD,Closed,Closed,22000.0,,,2022-08-31,2023-04-20,"remove and replace siding and windows, with no change to window rough in size, my MN Residential Builder Contractor Lic # is BC789154, Spirit of Excellence Corporation",parcel_apn,minneapolis_ccs_permits_current
parcel-3602924120076,3602924120076,BLDG1168850,Plumbing,Res,,Issued,Inspection,,,,2026-03-19,,Gas dryer replacement,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924120076,3602924120076,BLDG965635,Commercial,RoofWind,Comm,Closed,Closed,60000.0,,,2022-09-30,2022-12-16,"Remove existing roofing system. Install new shingle roof system complete with required underlayment, flashing and trim.",parcel_apn,minneapolis_ccs_permits_current
parcel-3602924120061,3602924120061,BLDG1109256,Res,Misc,SFD,Closed,Closed,26929.0,,,2025-03-13,2025-05-13,"EXTERIOR WORK: New Roof, New Siding, New Gutters",parcel_apn,minneapolis_ccs_permits_current
parcel-3602924120056,3602924120056,BLDG1122454,Res,Misc,SFD,Closed,Closed,40912.0,,,2025-05-30,2025-10-08,"roof, siding and gutters",parcel_apn,minneapolis_ccs_permits_current
parcel-3602924120056,3602924120056,BLDG926672,Plumbing,Res,,Closed,Closed,,,,2022-02-03,2024-02-07,Replace one (1) gas water heater. [contact omitted],parcel_apn,minneapolis_ccs_permits_current
parcel-3602924120036,3602924120036,BLDG1160804,Mechanical,ExistRes,SFD,Closed,Closed,,,,2026-01-02,2026-01-26,Replace NTI boiler 96% eff modulating,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924120036,3602924120036,BLDG1159121,Mechanical,ExistRes,SFD,Closed,Closed,,,,2025-12-23,2026-01-26,Replace boiler NTI 96% eff modulating burner TRX-085,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924120036,3602924120036,BLDG753645,Plumbing,Res,,Closed,Closed,,,,2019-02-08,2022-06-06,Replace 1 Gas Water Heater,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924110099,3602924110099,BLDG1160380,Plumbing,Res,SFD,Issued,Inspection,,,,2025-12-30,,METER MOVE Q4 - 2025 BATCH #12,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924110099,3602924110099,BLDG723798,Plumbing,Res,,Closed,Closed,,,,2018-08-15,2020-01-09,"Replace water heater. Al Champagne, [contact omitted]",parcel_apn,minneapolis_ccs_permits_current
parcel-3602924110079,3602924110079,BLDG1159750,Plumbing,Res,SFD,Issued,Inspection,,,,2025-12-26,,METER MOVE Q4 - 2025 BATCH #4,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924420253,3502924420253,BLDG1131648,Res,Misc,SFD,Closed,Closed,21721.0,,,2025-07-11,2025-10-08,replace selected windows same size,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924420253,3502924420253,BLDG919861,Plumbing,Res,,Closed,Closed,,,,2021-12-06,2022-07-06,Replace one gas water heater. [contact omitted],parcel_apn,minneapolis_ccs_permits_current
parcel-3502924420253,3502924420253,BLDG834263,Plumbing,Res,,Closed,Closed,,,,2020-05-19,2022-06-22,Replace water heater,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924420196,3502924420196,BLDG1168421,Mechanical,ExistRes,SFD,Closed,Closed,,,,2026-03-13,2026-03-20,Replace Goodman furnace 96% 2 stage gas valve with ECM blower,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924420196,3502924420196,BLDG919810,Plumbing,Res,,Closed,Closed,,,,2021-12-06,2023-12-08,Replace one gas water heater. [contact omitted],parcel_apn,minneapolis_ccs_permits_current
parcel-3502924420043,3502924420043,BLDG791727,Res,Misc,TFD,Closed,Closed,15000.0,,,2019-08-28,2022-01-11,replace siding and install new window in existing openings.,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924330006,3502924330006,BLDG764124,Plumbing,Res,SFD,Closed,Closed,,,,2019-04-16,2019-07-01,clear water sump install,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924330006,3502924330006,BLDG760603,Res,Misc,SFD,Closed,Closed,2000.0,,,2019-03-29,2019-08-14,INSTALL DRAIN TILE SYSTEM INCLUDING SUMP PUMP,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924310054,3502924310054,BLDG974399,Mechanical,ComMFDNR,MFD,Closed,Closed,,,,2023-01-19,2023-10-10,Dwelling unit above ceiling ducts were installed at the factory. Drawing and specs attached.,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924310054,3502924310054,BLDG974251,Plumbing,ComMin,MFD,Closed,Closed,,,,2022-12-08,2023-10-10,Complete plumbing per plans. Note: The project is modular construction. USM will be field installing crawl space and module connections. Pre-fab will be installing and inspections on the branch piping and setting fixtures. Fee is to be 50% of the calcula,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924310054,3502924310054,BLDG974195,Mechanical,TempHeat,MFD,Closed,Closed,,,,2022-12-06,2023-06-20,TEMPORARY HEATER,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924310054,3502924310054,BLDG931303,Commercial,New,MFD,Closed,Closed,1523936.0,6,,2022-12-06,2023-10-10,Site 2 Modular Construction New 6-unit apartment building certificate of occupancy required: yes All off-site constructed modular components must be certified and bear the IBC Seal and Data Plate per MN Rule 1361.0400 CONST TYPE: 5-B NUMBER OF,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924310054,3502924310054,BLDG972978,Mechanical,TempHeat,MFD,Closed,Closed,,,,2022-11-28,2024-04-29,TEMPORARY HEAT,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924310054,3502924310054,BLDG952263,Wrecking,Private,TFD,Closed,Closed,7000.0,,,2022-11-21,2024-12-30,Wrecking two family dwelling affiliated w/PDR (PLAN13429) - 2 SAC Credits,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924310054,3502924310054,BLDG830824,Plumbing,ComNoFdBv,,Closed,Closed,,,,2020-05-14,2022-06-23,electric water heater,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924310053,3502924310053,BLDG974398,Mechanical,ComMFDNR,MFD,Closed,Closed,66000.0,,,2023-01-19,2023-10-10,"HVAC for 3 story 6 dwelling units modular construction, installing furnace with DX coil and condensing units, exhaust fans, electric baseboard heaters, electric unit heaters, electric wall heaters, GRDs and all associated ductwork. Refer to attached draw",parcel_apn,minneapolis_ccs_permits_current
parcel-3502924310053,3502924310053,BLDG939925,Commercial,New,MFD,Closed,Closed,1521564.0,6,,2023-01-19,2023-10-12,SITE 3 - NEW 6 UNIT RESIDENTIAL BLDG. MODULAR CONSTRUCTION. SPECIAL INSPECTOR REQUIRED TO INSPECT MODULAR CONNECTIONS. All off-site constructed modular components must be certified and bear the IBC Seal and Data Plate per MN Rule 1361.0400 ****REVIS,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924310053,3502924310053,BLDG952273,Wrecking,Private,TFD,Closed,Closed,7000.0,,,2023-01-12,2024-12-30,Wrecking two family dwelling affiliated w/PDR (PLAN13430) - 2 SAC Credits,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924310053,3502924310053,BLDG974246,Plumbing,ComMin,MFD,Closed,Closed,,,,2022-12-08,2023-10-10,Complete plumbing per plans. Note: The project is modular construction. USM will be field installing crawl space and module connections. Pre-fab will be installing and inspections on the branch piping and setting fixtures. Fee is to be 50% of the calcula,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924310053,3502924310053,BLDG974194,Mechanical,TempHeat,MFD,Closed,Closed,,,,2022-12-06,2023-06-27,TEMPORARY HEATER,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924310053,3502924310053,BLDG972977,Mechanical,TempHeat,MFD,Closed,Closed,,,,2022-11-28,2024-04-25,TEMPORARY HEAT,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924310053,3502924310053,BLDG767689,Mechanical,ExistRes,TFD,Closed,Closed,,,,2019-05-02,2021-02-19,installed new hi eff changler ccy-85 boiler,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924240171,3502924240171,BLDG827401,Plumbing,Res,,Closed,Closed,,,,2020-03-27,2023-03-22,Install new water heater,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924240037,3502924240037,BLDG958070,Res,Misc,SFD,Closed,Closed,14000.0,,,2022-08-09,2023-08-14,"Remove old siding, wrap home and replace siding",parcel_apn,minneapolis_ccs_permits_current
parcel-3502924240037,3502924240037,BLDG810259,Res,Misc,SFD,Closed,Closed,6850.0,,,2019-12-20,2020-02-12,Remove existing shingle roof and replace with new shingle roof,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924210058,3502924210058,BLDG807672,Mechanical,ExistRes,SFD,Closed,Closed,,,,2019-12-02,2021-02-08,install new Goodman GMSE960603BN,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924140256,3502924140256,BLDG974397,Mechanical,ComMFDNR,MFD,Closed,Closed,66000.0,,,2023-01-19,2023-09-18,Dwelling unit above ceiling ducts were installed off site in factory and approved by others as I understand the project. Drawings and specs. attached. Crawl space ventilation for under stairwell is approved as shown in revised drawing sheet M1.01.,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924140256,3502924140256,BLDG974265,Plumbing,ComMin,MFD,Closed,Closed,,,,2022-12-08,2023-09-14,Complete plumbing per plans. Note: The project is modular construction. USM will be field installing crawl space and module connections. Pre-fab will be installing and inspections on the branch piping and setting fixtures. Fee is to be 50% of the calcula,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924140256,3502924140256,BLDG974193,Mechanical,TempHeat,MFD,Closed,Closed,,,,2022-12-06,2023-09-08,TEMPORARY HEATER,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924140256,3502924140256,BLDG931190,Commercial,New,MFD,Closed,Closed,1531384.0,6,,2022-12-06,2023-09-18,SITE 4. NEW 6 UNIT RESIDENTIAL BLDG. MODULAR CONSTRUCTION. SPECIAL INSPECTOR REQUIRED TO INSPECT MODULAR CONNECTIONS. (JJL) ALL OFF-SITE CONSTRUCTED MODULAR COMPONENTS MUST BE CERTIFIED AND BEAR THE IBC SEAL AND DATA PLATE PER MN RULE 1361. ****REVI,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924140256,3502924140256,BLDG972976,Mechanical,TempHeat,MFD,Closed,Closed,,,,2022-11-28,2024-04-29,PROVIDE TEMPORARY HEAT,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924140256,3502924140256,BLDG952277,Wrecking,Private,TFD,Closed,Closed,7000.0,,,2022-11-18,2024-12-30,Wrecking two family dwelling affiliated w/PDR (PLAN13420) - 2 SAC Credits,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924140256,3502924140256,BLDG881758,Mechanical,ExistRes,TFD,Closed,Closed,,,,2021-04-14,2022-04-15,Replace furnace with a Goodman furnace,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924140256,3502924140256,BLDG727045,Res,Misc,TFD,Closed,Closed,6000.0,,,2018-09-05,2018-09-17,Reroof,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924140048,3502924140048,BLDG1174286,Plumbing,Res,,Closed,Closed,,,,2026-04-21,2026-05-01,Disconnect and reconnect all fixtures in kitchen and bath including oven,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924130266,3502924130266,BLDG900463,Plumbing,Res,,Closed,Closed,,,,2021-07-27,2023-12-13,Replace one gas water heater. [contact omitted],parcel_apn,minneapolis_ccs_permits_current
parcel-3502924130266,3502924130266,BLDG809564,Mechanical,ExistRes,SFD,Closed,Closed,,,,2019-12-15,2021-02-19,install pansonic bath fan,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924130252,3502924130252,BLDG973474,Mechanical,ExistRes,SFD,Closed,Closed,,,,2022-11-29,2022-11-30,Gas Line for Stove,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924130252,3502924130252,BLDG911057,Mechanical,ExistRes,SFD,Closed,Closed,,,,2021-10-05,2022-07-14,Install duct work to new build with 2 bath fans 1 erv Install Amana 60k 96% furnace with 2 ton condenser and cased evap coil Install main gas line,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924130252,3502924130252,BLDG910203,Plumbing,Res,,Closed,Closed,,,,2021-09-29,2022-11-14,replace gas dryer,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924130252,3502924130252,BLDG895613,Plumbing,Res,,Closed,Closed,,,,2021-06-25,2022-11-16,Rough in waste and vent as well as supply piping for new build. set fixtures for finish,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924130252,3502924130252,BLDG871203,Res,New,SFD,Closed,Closed,200000.0,1,,2021-04-01,2023-08-08,Source Information is Not Available. Source Data Does Not Meet Reporting Standards. Please Review and Correct Source.,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924130252,3502924130252,BLDG860898,Wrecking,Private,SFD,Closed,Closed,25000.0,,,2021-01-26,2021-10-01,"Wrecking a single family dwelling, 1 SAC unit.",parcel_apn,minneapolis_ccs_permits_current
parcel-3502924130141,3502924130141,BLDG1114257,Res,Misc,SFD,Closed,Closed,17108.0,,,2025-04-17,2025-09-25,MPHA new roof and gutters,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924120284,3502924120284,BLDG1062548,Commercial,RoofWind,MFD,Closed,Closed,75319.0,,,2024-07-01,2025-01-03,"RE-ROOF FLAT ROOF, ADD LADDER 2020 MSBC",parcel_apn,minneapolis_ccs_permits_current
parcel-3502924120284,3502924120284,BLDG1019811,Commercial,Remodel,MFD,Closed,Closed,85375.0,,,2023-10-05,2023-12-20,"spot tuckpointing, joint sealant",parcel_apn,minneapolis_ccs_permits_current
parcel-3502924120284,3502924120284,BLDG800487,Commercial,Remodel,Comm,Closed,Closed,20000.0,,,2019-11-26,2022-02-03,installation of rooftop telecommunications equipment. sck***,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924120079,3502924120079,BLDG1171602,Plumbing,Res,,Closed,Closed,,,,2026-04-08,2026-04-28,Replace 40 gallon power vent water heater,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924120079,3502924120079,BLDG974107,Res,Misc,SFD,Closed,Closed,22000.0,,,2022-12-05,2023-09-29,"Window replacement, no change in rough opening and siding replacement",parcel_apn,minneapolis_ccs_permits_current
parcel-3502924120079,3502924120079,BLDG971630,Res,Misc,SFD,Closed,Closed,7500.0,,,2022-11-09,2023-02-06,Tear off and replace roof shingles,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924110026,3502924110026,BLDG974394,Mechanical,ComMFDNR,MFD,Closed,Closed,44000.0,,,2023-01-19,2023-09-18,"HVAC for 2 story 4 dwelling units modular construction, installing furnace with DX coil and condensing units, exhaust fans, electric baseboard heaters, electric unit heaters, electric wall heaters, GRDs and all associated ductwork. Refer to attached draw",parcel_apn,minneapolis_ccs_permits_current
parcel-3502924110026,3502924110026,BLDG974244,Plumbing,ComMin,MFD,Closed,Closed,,,,2022-12-08,2023-09-12,Complete plumbing per plans. Note: The project is modular construction. USM will be field installing crawl space and module connections. Pre-fab will be installing and inspections on the branch piping and setting fixtures. Fee is to be 50% of the calcula,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924110026,3502924110026,BLDG974190,Mechanical,TempHeat,MFD,Closed,Closed,,,,2022-12-06,2023-09-12,TEMPORARY HEATER,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924110026,3502924110026,BLDG948287,Commercial,New,MFD,Closed,Closed,1300482.0,4,,2022-12-06,2025-06-12,SITE 6. NEW 4 UNIT RESIDENTIAL BLDG. MODULAR CONSTRUCTION. SPECIAL INSPECTOR REQUIRED TO INSPECT MODULAR CONNECTIONS. All off-site constructed modular components must be certified and bear the IBC Seal and Data Plate per MN Rule 1361.0400 cer,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924110026,3502924110026,BLDG972975,Mechanical,TempHeat,MFD,Closed,Closed,,,,2022-11-28,2024-04-29,PROVIDE TEMPORARY HEAT WITH ONE LP HEATER,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924110026,3502924110026,BLDG952286,Wrecking,Private,TFD,Closed,Closed,7000.0,,,2022-11-21,2025-01-09,Wreck two family home affiliated w/PDR (PLAN13431) - 2 SAC Credits,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924110026,3502924110026,BLDG679267,Res,Misc,TFD,Closed,Closed,5600.0,,,2017-10-13,2017-11-16,reroof soffit and fascia repair,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924110008,3502924110008,BLDG1170315,Commercial,RoofWind,MFD,Issued,Final Inspection,101950.0,,,2026-04-28,,"MPHA flat roof replacement General requirements for flat roof replacements. The roof covering is to meet the Minnesota Building code performance requirements of Section 1504, the fire classification of Section 1505 and the material requirements as spec",parcel_apn,minneapolis_ccs_permits_current
parcel-3502924110008,3502924110008,BLDG1170312,Commercial,RoofWind,MFD,Issued,Final Inspection,865600.0,,,2026-04-28,,Reroof -ACW certificate of occupancy required: no special inspections required: no windows with sill heights less than 36 inches above the floor shall be equipped with fall prevention devices that limit the window opening to less than 4 inches,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924110008,3502924110008,BLDG1170309,Commercial,RoofWind,MFD,Issued,Final Inspection,865600.0,,,2026-04-28,,Replace roofs -ACW certificate of occupancy required: no special inspections required: no windows with sill heights less than 36 inches above the floor shall be equipped with fall prevention devices that limit the window opening to less than 4,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924110008,3502924110008,BLDG1170305,Commercial,RoofWind,MFD,Issued,Final Inspection,865600.0,,,2026-04-28,,Reroof -ACW certificate of occupancy required: no special inspections required: no windows with sill heights less than 36 inches above the floor shall be equipped with fall prevention devices that limit the window opening to less than 4 inch,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924110008,3502924110008,BLDG1076130,Commercial,Remodel,Comm,Closed,Closed,888000.0,,,2024-08-13,2026-02-24,Tuckpointing and brickwork certificate of occupancy required: no special inspections required: no occupancy: R-2 2020 MSBC windows with sill heights less than 36 inches above the floor shall be equipped with fall prevention device,parcel_apn,minneapolis_ccs_permits_current
parcel-3502924110008,3502924110008,BLDG986361,Plumbing,Res,SFD,Closed,Closed,,,,2023-03-10,2024-01-02,METER MOVE Q3 - 2022 BATCH #32,parcel_apn,minneapolis_ccs_permits_current
parcel-3402924320084,3402924320084,BLDG826946,Plumbing,Res,,Closed,Closed,,,,2020-03-24,2022-01-31,replace waste stack and 3 fixtures,parcel_apn,minneapolis_ccs_permits_current
parcel-3402924230146,3402924230146,BLDG1045013,Plumbing,Res,SFD,Closed,Closed,,,,2024-02-15,2024-09-27,METER MOVE Q4 - 2024 BATCH #22,parcel_apn,minneapolis_ccs_permits_current
parcel-3402924230146,3402924230146,BLDG746352,Res,Misc,SFD,Closed,Closed,9600.0,,,2018-12-17,2018-12-27,Tear off and reroof.,parcel_apn,minneapolis_ccs_permits_current
