property_id,canonical_address,city,state,zip,parcel_id,latitude,longitude,current_owner_name,current_taxpayer_name,official_property_name,official_listed_address,is_official_mpha_listing,property_type,estimated_unit_count,unit_count_source,unit_count_confidence,unit_count_notes,ward,neighborhood,community,police_precinct,police_sector,current_status,confidence_level,confidence_score,public_notes,first_seen_date,last_seen_date,is_current,detail_url_slug
parcel-0202824230142,3314 OAKLAND AVE,Minneapolis,MN,55407,0202824230142,44.94262094244383,-93.26676500376536,MPLS PUBLIC HOUSING AUTHORITY MPHA,Community Housing Resources,,,False,RESIDENTIAL 1 UNIT,1,building_use_inference,inferred,Building use indicates a single-family house; unit count inferred as 1.,Ward 9,Central,Powderhorn,Precinct 3,Sector 2,Current public housing ownership match in Minneapolis assessing records; Current public housing owner or taxpayer match in parcel records,likely,1.0,"MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2023, 2024, 2025.",2023-01-01,2026-01-14,True,3314-oakland-ave-0202824230142
parcel-0902924130018,3316 EMERSON AVE N,Minneapolis,MN,55412,0902924130018,45.015604187110235,-93.29395358540039,MPLS PUBLIC HOUSING AUTHORITY MPHA,Community Housing Resources,,,False,RESIDENTIAL 2 UNITS,2,building_use_inference,inferred,Building use indicates a duplex; unit count inferred as 2.,Ward 4,Folwell,Camden,Precinct 4,Sector 2,Current public housing ownership match in Minneapolis assessing records; Current public housing owner or taxpayer match in parcel records,likely,1.0,"MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2023, 2024, 2025.",2023-01-01,2026-01-14,True,3316-emerson-ave-n-0902924130018
parcel-0302824140158,3324 CLINTON AVE,Minneapolis,MN,55408,0302824140158,44.94227903306485,-93.27187159593265,MPLS PUBLIC HOUSING AUTHORITY MPHA,Community Housing Resources,,,False,RESIDENTIAL 1 UNIT,1,building_use_inference,inferred,Building use indicates a single-family house; unit count inferred as 1.,Ward 9,Central,Powderhorn,Precinct 3,Sector 2,Current public housing ownership match in Minneapolis assessing records; Current public housing owner or taxpayer match in parcel records,likely,1.0,"MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2023, 2024, 2025.",2023-01-01,2026-01-14,True,3324-clinton-ave-0302824140158
parcel-0302824130076,3328 1ST AVE S,Minneapolis,MN,55408,0302824130076,44.94213582299023,-93.27700214198103,MPLS PUBLIC HOUSING AUTHORITY MPHA,Community Housing Resources,,,False,RESIDENTIAL 1 UNIT,1,building_use_inference,inferred,Building use indicates a single-family house; unit count inferred as 1.,Ward 8,Lyndale,Powderhorn,Precinct 5,,Current public housing ownership match in Minneapolis assessing records; Current public housing owner or taxpayer match in parcel records,likely,1.0,"MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2023, 2024, 2025.",2023-01-01,2026-01-14,True,3328-1st-ave-s-0302824130076
parcel-0202824230147,3330 PARK AVE,Minneapolis,MN,55407,0202824230147,44.94217288285122,-93.26555967431693,MPLS PUBLIC HOUSING AUTHORITY MPHA,Community Housing Resources,,,False,RESIDENTIAL 1 UNIT,1,building_use_inference,inferred,Building use indicates a single-family house; unit count inferred as 1.,Ward 9,Central,Powderhorn,Precinct 3,Sector 2,Current public housing ownership match in Minneapolis assessing records; Current public housing owner or taxpayer match in parcel records,likely,1.0,"MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2023, 2024, 2025.",2023-01-01,2026-01-14,True,3330-park-ave-0202824230147
parcel-0902924140035,3331 BRYANT AVE N,Minneapolis,MN,55412,0902924140035,45.01592633505935,-93.2908999985246,MPLS PUBLIC HOUSING AUTHORITY MPHA,Community Housing Resources,,,False,RESIDENTIAL 1 UNIT,1,building_use_inference,inferred,Building use indicates a single-family house; unit count inferred as 1.,Ward 4,McKinley,Camden,Precinct 4,Sector 2,Current public housing ownership match in Minneapolis assessing records; Current public housing owner or taxpayer match in parcel records,likely,1.0,"MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2023, 2024, 2025.",2023-01-01,2026-01-14,True,3331-bryant-ave-n-0902924140035
parcel-0902924230087,3343 OLIVER AVE N,Minneapolis,MN,55412,0902924230087,45.01637422408431,-93.30734789191251,MPLS PUBLIC HOUSING AUTHORITY MPHA,Community Housing Resources,,,False,RESIDENTIAL 1 UNIT,1,building_use_inference,inferred,Building use indicates a single-family house; unit count inferred as 1.,Ward 4,Folwell,Camden,Precinct 4,Sector 2,Current public housing ownership match in Minneapolis assessing records; Current public housing owner or taxpayer match in parcel records,likely,1.0,"MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2023, 2024, 2025.",2023-01-01,2026-01-14,True,3343-oliver-ave-n-0902924230087
parcel-0302824130161,3345 2ND AVE S,Minneapolis,MN,55408,0302824130161,44.94165444892767,-93.27369771585664,MPLS PUBLIC HOUSING AUTHORITY MPHA,Community Housing Resources,,,False,RESIDENTIAL 1 UNIT,1,building_use_inference,inferred,Building use indicates a single-family house; unit count inferred as 1.,Ward 9,Central,Powderhorn,Precinct 3,Sector 2,Current public housing ownership match in Minneapolis assessing records; Current public housing owner or taxpayer match in parcel records,likely,1.0,"MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2023, 2024, 2025.",2023-01-01,2026-01-14,True,3345-2nd-ave-s-0302824130161
parcel-0902924140017,3345 ALDRICH AVE N,Minneapolis,MN,55412,0902924140017,45.01642023187907,-93.2896370418158,MPLS PUBLIC HOUSING AUTHORITY MPHA,Community Housing Resources,,,False,RESIDENTIAL 2 UNITS,2,building_use_inference,inferred,Building use indicates a duplex; unit count inferred as 2.,Ward 4,McKinley,Camden,Precinct 4,Sector 2,Current public housing ownership match in Minneapolis assessing records; Current public housing owner or taxpayer match in parcel records,likely,1.0,"MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2023, 2024, 2025.",2023-01-01,2026-01-14,True,3345-aldrich-ave-n-0902924140017
parcel-0102824140165,3347 MINNEHAHA AVE,Minneapolis,MN,55406,0102824140165,44.94175070126109,-93.22885843573741,MPLS PUBLIC HOUSING AUTHORITY MPHA,Community Housing Resources,,,False,RESIDENTIAL 1 UNIT,1,building_use_inference,inferred,Building use indicates a single-family house; unit count inferred as 1.,Ward 2,Longfellow,Longfellow,Precinct 3,Sector 4,Current public housing ownership match in Minneapolis assessing records; Current public housing owner or taxpayer match in parcel records,likely,1.0,"MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2023, 2024, 2025.",2023-01-01,2026-01-14,True,3347-minnehaha-ave-0102824140165
parcel-1302924430025,337 GARFIELD ST,Minneapolis,MN,55413,1302924430025,44.99259605806737,-93.23295278298544,MPLS PUBLIC HOUSING AUTHORITY MPHA,Community Housing Resources,,,False,RESIDENTIAL 1 UNIT,1,building_use_inference,inferred,Building use indicates a single-family house; unit count inferred as 1.,Ward 1,Como,University,Precinct 2,Sector 1,Current public housing ownership match in Minneapolis assessing records; Current public housing owner or taxpayer match in parcel records,likely,1.0,"MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2023, 2024, 2025.",2023-01-01,2026-01-14,True,337-garfield-st-1302924430025
parcel-1502824140113,338 50TH ST E,Minneapolis,MN,55419,1502824140113,44.91262544155476,-93.2708259672105,MPLS PUBLIC HOUSING AUTHORITY MPHA,Community Housing Resources,,,False,RESIDENTIAL 1 UNIT,1,building_use_inference,inferred,Building use indicates a single-family house; unit count inferred as 1.,Ward 8,Field,Nokomis,Precinct 3,Sector 3,Current public housing ownership match in Minneapolis assessing records; Current public housing owner or taxpayer match in parcel records,likely,1.0,"MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2023, 2024, 2025.",2023-01-01,2026-01-14,True,338-50th-st-e-1502824140113
parcel-1302924340156,339 PIERCE ST,Minneapolis,MN,55413,1302924340156,44.99256999852831,-93.24062404873534,MPLS PUBLIC HOUSING AUTHORITY MPHA,Community Housing Resources,,,False,APARTMENT,4,minneapolis_assessing_total_units,reported,Unit count reported by minneapolis assessing total units.,Ward 3,Beltrami,Northeast,Precinct 2,Sector 1,Current public housing ownership match in Minneapolis assessing records; Current public housing owner or taxpayer match in parcel records,likely,1.0,"MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2023, 2024, 2025.",2023-01-01,2026-01-14,True,339-pierce-st-1302924340156
parcel-0402824410183,3400 COLFAX AVE S,Minneapolis,MN,55408,0402824410183,44.94114549087596,-93.29234902498335,COMMUNITY HOUSING RESOURCES INC.,Community Housing Resources,,,False,APARTMENT,4,minneapolis_assessing_total_units,reported,Unit count reported by minneapolis assessing total units.,Ward 10,South Uptown,Calhoun Isle,Precinct 5,,Current public housing ownership match in Minneapolis assessing records; Current public housing owner or taxpayer match in parcel records,likely,1.0,"MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2023, 2024, 2025.",2023-01-01,2026-01-14,True,3400-colfax-ave-s-0402824410183
parcel-0302824310099,3407 PLEASANT AVE,Minneapolis,MN,55408,0302824310099,44.940964743059396,-93.28253698973975,MPLS PUBLIC HOUSING AUTHORITY MPHA,Community Housing Resources,,,False,RESIDENTIAL 1 UNIT,1,building_use_inference,inferred,Building use indicates a single-family house; unit count inferred as 1.,Ward 8,Lyndale,Powderhorn,Precinct 5,,Current public housing ownership match in Minneapolis assessing records; Current public housing owner or taxpayer match in parcel records,likely,1.0,"MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2023, 2024, 2025.",2023-01-01,2026-01-14,True,3407-pleasant-ave-0302824310099
parcel-0902924110206,3411 COLFAX AVE N,Minneapolis,MN,55412,0902924110206,45.01713819283236,-93.29216120622289,MPLS PUBLIC HOUSING AUTHORITY MPHA,Community Housing Resources,,,False,RESIDENTIAL 1 UNIT,1,building_use_inference,inferred,Building use indicates a single-family house; unit count inferred as 1.,Ward 4,McKinley,Camden,Precinct 4,Sector 2,Current public housing ownership match in Minneapolis assessing records; Current public housing owner or taxpayer match in parcel records,likely,1.0,"MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2023, 2024, 2025.",2023-01-01,2026-01-14,True,3411-colfax-ave-n-0902924110206
parcel-0102824420181,3413 26TH AVE S,Minneapolis,MN,55406,0102824420181,44.94068888304679,-93.23430812248203,MPLS PUBLIC HOUSING AUTHORITY MPHA,Community Housing Resources,,,False,RESIDENTIAL 1 UNIT,1,building_use_inference,inferred,Building use indicates a single-family house; unit count inferred as 1.,Ward 9,Corcoran,Powderhorn,Precinct 3,Sector 2,Current public housing ownership match in Minneapolis assessing records; Current public housing owner or taxpayer match in parcel records,likely,1.0,"MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2023, 2024, 2025.",2023-01-01,2026-01-14,True,3413-26th-ave-s-0102824420181
parcel-0902924110150,3415 LYNDALE AVE N,Minneapolis,MN,55412,0902924110150,45.017175265474336,-93.28838905466463,MPLS PUBLIC HOUSING AUTHORITY MPHA,Community Housing Resources,,,False,RESIDENTIAL 1 UNIT,1,building_use_inference,inferred,Building use indicates a single-family house; unit count inferred as 1.,Ward 4,McKinley,Camden,Precinct 4,Sector 2,Current public housing ownership match in Minneapolis assessing records; Current public housing owner or taxpayer match in parcel records,likely,1.0,"MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2023, 2024, 2025.",2023-01-01,2026-01-14,True,3415-lyndale-ave-n-0902924110150
