property_id,parcel_id,source_ids,sale_date,sale_value,assessed_land_value,assessed_building_value,assessed_total_value,tax_year,market_year,total_tax,use_classes,zoning,land_use,parcel_area_sqft,acres,year_built,finished_sqft,above_ground_area,below_ground_area,total_units,building_use
parcel-0102824140165,0102824140165,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,1999-09-01,109900.0,101000.0,235900.0,336900.0,2026,2025,,Residential | Special Taxing Districts,Residence Goods and Services,,7143.0,0.16,1914,,1188.0,,,Single Family House
parcel-0102824210046,0102824210046,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,99000.0,185600.0,284600.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,6854.0,0.16,1911,,1117.0,,,Single Family House
parcel-0102824230040,0102824230040,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,87000.0,177400.0,264400.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,4996.0,0.11,1922,,1426.0,,,Single Family House
parcel-0102824240132,0102824240132,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,127000.0,205000.0,332000.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,8557.0,0.2,1900,,1702.0,800.0,,Single Family House
parcel-0102824310092,0102824310092,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,90000.0,105000.0,195000.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,3921.0,0.09,1928,,688.0,688.0,,Single Family House
parcel-0102824320190,0102824320190,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,114000.0,225000.0,339000.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,6190.0,0.14,1906,,1970.0,712.0,,Single Family House
parcel-0102824340175,0102824340175,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,127500.0,1002900.0,1130400.0,2026,2025,,Apartment | Special Taxing Districts,Corridor Mixed Use,,8458.0,0.19,2023,,10032.0,,6,Apartment 6+ Unit
parcel-0102824410110,0102824410110,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,1999-11-01,104000.0,98000.0,172200.0,270200.0,2026,2025,,Residential | Special Taxing Districts,Residence Goods and Services,,6000.0,0.14,1908,,1444.0,916.0,,Single Family House
parcel-0102824420142,0102824420142,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,103000.0,180000.0,283000.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,5090.0,0.12,1911,,988.0,,,Single Family House
parcel-0102824420143,0102824420143,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,103000.0,178000.0,281000.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,5090.0,0.12,1972,,1248.0,,,Single Family House
parcel-0102824420181,0102824420181,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,2005-06-01,255000.0,120000.0,338000.0,458000.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,7370.0,0.17,1995,,1675.0,,,Single Family House
parcel-0102824420191,0102824420191,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,117000.0,375200.0,492200.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,6864.0,0.16,2000,,1567.0,,,Single Family House
parcel-0102824430004,0102824430004,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,1999-11-01,89000.0,120000.0,103600.0,223600.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,5080.0,0.12,1924,,864.0,864.0,,Single Family House
parcel-0102824430049,0102824430049,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,1983-05-01,63000.0,111000.0,160100.0,271100.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,5043.0,0.12,1978,,1092.0,,,Single Family House
parcel-0102824440104,0102824440104,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,2002-01-01,22700.0,931400.0,11600.0,943000.0,2026,2025,,Apartment | Special Taxing Districts,Urban Neighborhood 2,,58213.0,1.34,2000,,7554.0,7554.0,,Transient Nal Hsg Fac
parcel-0102924110108,0102924110108,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,2000-03-01,134900.0,124000.0,168000.0,292000.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 1,,6232.0,0.14,1966,,941.0,,,Single Family House
parcel-0102924110143,0102924110143,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,1999-11-01,129000.0,117000.0,229000.0,346000.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 1,,5204.0,0.12,1948,,1446.0,872.0,,Single Family House
parcel-0102924120018,0102924120018,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,1983-10-01,59000.0,103000.0,183700.0,286700.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,8157.0,0.19,1954,,925.0,,,Single Family House
parcel-0102924210078,0102924210078,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,119000.0,183400.0,302400.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 1,,7021.0,0.16,1972,,1000.0,700.0,,Single Family House
parcel-0102924220126,0102924220126,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,1983-09-01,60200.0,122000.0,187300.0,309300.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,7459.0,0.17,1955,,1000.0,1000.0,,Single Family House
parcel-0102924230079,0102924230079,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,1983-09-01,55000.0,98000.0,144000.0,242000.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,4693.0,0.11,1955,,868.0,868.0,,Single Family House
parcel-0102924240052,0102924240052,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,104000.0,173000.0,277000.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 1,,4991.0,0.11,1974,,1092.0,,,Single Family House
parcel-0102924310003,0102924310003,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,1983-12-01,59000.0,99000.0,191100.0,290100.0,2026,2025,,Residential | Special Taxing Districts,Residence Goods and Services,,4999.0,0.11,1954,,972.0,972.0,,Single Family House
parcel-0102924320080,0102924320080,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,114000.0,245300.0,359300.0,2026,2025,,Double Bungalow | Special Taxing Districts,Urban Neighborhood 2,,6121.0,0.14,1972,,1736.0,896.0,,Duplex
parcel-0102924320104,0102924320104,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,105000.0,172000.0,277000.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,4667.0,0.11,1972,,1092.0,1092.0,,Single Family House
parcel-0102924330085,0102924330085,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,97000.0,203200.0,300200.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 3,,4669.0,0.11,1972,,1440.0,,,Single Family House
parcel-0102924330145,0102924330145,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,106000.0,247200.0,353200.0,2026,2025,,Double Bungalow | Special Taxing Districts,Urban Neighborhood 3,,5014.0,0.12,1972,,1736.0,896.0,,Duplex
parcel-0102924420057,0102924420057,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,119000.0,159600.0,278600.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 1,,5028.0,0.12,1973,,1092.0,1092.0,,Single Family House
parcel-0102924430099,0102924430099,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,119000.0,153500.0,272500.0,2026,2025,,Residential | Special Taxing Districts,Residence Goods and Services,,5068.0,0.12,1973,,1118.0,1118.0,,Single Family House
parcel-0202824110044,0202824110044,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,78000.0,134900.0,212900.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,4624.0,0.11,1909,,1252.0,752.0,,Single Family House
parcel-0202824120075,0202824120075,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,63000.0,180400.0,243400.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,4329.0,0.1,1910,,1296.0,720.0,,Single Family House
parcel-0202824120132,0202824120132,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,68000.0,160800.0,228800.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,4906.0,0.11,1899,,1648.0,,,Single Family House
parcel-0202824120188,0202824120188,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,60000.0,194400.0,254400.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,3827.0,0.09,1909,,1518.0,670.0,,Single Family House
parcel-0202824210037,0202824210037,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,66000.0,163100.0,229100.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,4557.0,0.1,1971,,884.0,884.0,,Single Family House
parcel-0202824210047,0202824210047,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,65000.0,168100.0,233100.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,4617.0,0.11,1914,,1495.0,892.0,,Single Family House
parcel-0202824210104,0202824210104,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,75000.0,271200.0,346200.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,6152.0,0.14,1903,,1740.0,992.0,,Single Family House
parcel-0202824210134,0202824210134,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,69000.0,260900.0,329900.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,5068.0,0.12,1907,,1718.0,840.0,,Single Family House
parcel-0202824230122,0202824230122,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,59000.0,150600.0,209600.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,4749.0,0.11,1903,,1640.0,856.0,,Single Family House
parcel-0202824230130,0202824230130,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,55000.0,176000.0,231000.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,4072.0,0.09,1971,,1264.0,616.0,,Single Family House
parcel-0202824230142,0202824230142,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,64000.0,161900.0,225900.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,5638.0,0.13,1908,,1716.0,936.0,,Single Family House
parcel-0202824230147,0202824230147,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,56000.0,230000.0,286000.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,4722.0,0.11,1901,,1320.0,696.0,,Single Family House
parcel-0202824230206,0202824230206,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,39000.0,210500.0,249500.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,2197.0,0.05,1900,,1680.0,840.0,,Single Family House
parcel-0202824230219,0202824230219,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,56000.0,203100.0,259100.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,4726.0,0.11,1971,,1320.0,660.0,,Single Family House
parcel-0202824240021,0202824240021,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,69000.0,183300.0,252300.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,5098.0,0.12,1909,,1148.0,638.0,,Single Family House
parcel-0202824310164,0202824310164,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,87000.0,142400.0,229400.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,4631.0,0.11,1908,,1277.0,672.0,,Single Family House
parcel-0202824320074,0202824320074,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,85000.0,240400.0,325400.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,5792.0,0.13,1911,,1594.0,,,Single Family House
parcel-0202824320120,0202824320120,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,73000.0,140500.0,213500.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,4911.0,0.11,1911,,1489.0,1017.0,,Single Family House
parcel-0202824330088,0202824330088,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,80000.0,155500.0,235500.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,5823.0,0.13,1911,,1564.0,836.0,,Single Family House
parcel-0202824330132,0202824330132,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,88000.0,144700.0,232700.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,5417.0,0.12,1912,,1355.0,847.0,,Single Family House
parcel-0202824330173,0202824330173,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,78000.0,372500.0,450500.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,5604.0,0.13,1915,,2158.0,1174.0,,Single Family House
parcel-0202824340023,0202824340023,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,90000.0,148800.0,238800.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,4931.0,0.11,1918,,956.0,,,Single Family House
parcel-0202824340065,0202824340065,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,92000.0,251600.0,343600.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,5058.0,0.12,1931,,1511.0,1095.0,,Single Family House
parcel-0202824340129,0202824340129,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,86000.0,279900.0,365900.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,5759.0,0.13,1910,,1563.0,825.0,,Single Family House
parcel-0202824340154,0202824340154,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,98000.0,144600.0,242600.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,5760.0,0.13,1910,,1312.0,702.0,,Single Family House
parcel-0202824410118,0202824410118,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,2001-07-01,160000.0,136600.0,1393400.0,1530000.0,2026,2025,,Apartment | Special Taxing Districts,Corridor Mixed Use,,9758.0,0.22,2002,,9845.0,,6,Apartment 6+ Unit
parcel-0202824410168,0202824410168,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,1992-07-01,1.0,96000.0,183300.0,279300.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,5505.0,0.13,1905,,1192.0,639.0,,Single Family House
parcel-0202824410211,0202824410211,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,1999-12-01,117000.0,92000.0,169500.0,261500.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,5674.0,0.13,1953,,1186.0,,,Single Family House
parcel-0202824440020,0202824440020,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,90000.0,202700.0,292700.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,4930.0,0.11,1918,,1346.0,732.0,,Single Family House
parcel-0202924120032,0202924120032,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,1999-10-01,122500.0,110000.0,150800.0,260800.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 1,,6457.0,0.15,1954,,932.0,932.0,,Single Family House
parcel-0202924210065,0202924210065,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,2000-02-01,129500.0,132000.0,153400.0,285400.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 1,,10222.0,0.23,1957,,966.0,966.0,,Single Family House
parcel-0202924220016,0202924220016,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,95000.0,146000.0,241000.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 1,,5245.0,0.12,1972,,1095.0,750.0,,Single Family House
parcel-0202924220206,0202924220206,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,55000.0,,55000.0,2026,2025,,Vacant Land - Residential | Special Taxing Districts,Urban Neighborhood 1,,5109.0,0.12,,,,,,
parcel-0202924220207,0202924220207,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,1992-09-01,1.0,93000.0,229100.0,322100.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 1,,4993.0,0.11,1972,,1366.0,858.0,,Single Family House
parcel-0302824110057,0302824110057,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,54000.0,193100.0,247100.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,5358.0,0.12,1971,,1320.0,936.0,,Single Family House
parcel-0302824110148,0302824110148,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,54000.0,215900.0,269900.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,5754.0,0.13,1971,,1470.0,720.0,,Single Family House
parcel-0302824130076,0302824130076,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,92000.0,274400.0,366400.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,5625.0,0.13,1904,,1896.0,,,Single Family House
parcel-0302824130161,0302824130161,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,43000.0,284000.0,327000.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,5851.0,0.13,1903,,1888.0,992.0,,Single Family House
parcel-0302824140024,0302824140024,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,53000.0,197500.0,250500.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 3,,5859.0,0.13,1979,,1232.0,616.0,,Single Family House
parcel-0302824140037,0302824140037,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,55000.0,175500.0,230500.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,5829.0,0.13,1914,,1727.0,1065.0,,Single Family House
parcel-0302824140045,0302824140045,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,55000.0,196900.0,251900.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,5797.0,0.13,1971,,1320.0,936.0,,Single Family House
parcel-0302824140075,0302824140075,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,52000.0,163800.0,215800.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 3,,5763.0,0.13,1906,,1588.0,,,Single Family House
parcel-0302824140094,0302824140094,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,53000.0,207300.0,260300.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 3,,5864.0,0.13,1979,,1316.0,644.0,,Single Family House
parcel-0302824140107,0302824140107,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,54000.0,186700.0,240700.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,5404.0,0.12,1972,,1159.0,644.0,,Single Family House
parcel-0302824140130,0302824140130,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,53000.0,204400.0,257400.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 3,,5871.0,0.13,1979,,1288.0,644.0,,Single Family House
parcel-0302824140158,0302824140158,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,54000.0,216300.0,270300.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,5835.0,0.13,1971,,1344.0,672.0,,Single Family House
parcel-0302824210102,0302824210102,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,4095200.0,32781800.0,36877000.0,2026,2025,,Apartment | Municipal Property,Urban Neighborhood 3,,163808.0,3.73,1970,,120274.0,5311.0,163,Apartment 6+ Unit
parcel-0302824220149,0302824220149,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,147000.0,125600.0,272600.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,5800.0,0.13,1905,,1343.0,719.0,,Single Family House
parcel-0302824220164,0302824220164,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,148000.0,196100.0,344100.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,5811.0,0.13,1904,,1635.0,849.0,,Single Family House
parcel-0302824230046,0302824230046,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,137000.0,343800.0,480800.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,5434.0,0.12,1900,,2032.0,508.0,,Single Family House
parcel-0302824230078,0302824230078,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,144000.0,201100.0,345100.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,5433.0,0.12,1904,,1768.0,864.0,,Single Family House
parcel-0302824310057,0302824310057,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,127000.0,216100.0,343100.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,6674.0,0.15,1908,,1508.0,988.0,,Single Family House
parcel-0302824310099,0302824310099,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,121000.0,257400.0,378400.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,5915.0,0.14,1900,,1756.0,878.0,,Single Family House
parcel-0302824310110,0302824310110,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,1983-12-01,53000.0,127000.0,207100.0,334100.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,6705.0,0.15,1953,,1291.0,971.0,,Single Family House
parcel-0302824310185,0302824310185,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,126000.0,205000.0,331000.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,7440.0,0.17,1900,,1346.0,,,Single Family House
parcel-0302824330153,0302824330153,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,1988-01-01,33000.0,173000.0,237000.0,410000.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,5209.0,0.12,1991,,1448.0,819.0,,Single Family House
parcel-0302824340019,0302824340019,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,104000.0,149100.0,253100.0,2026,2025,,Residential | Municipal Property,Corridor Mixed Use,,4557.0,0.1,1907,,1430.0,,,Single Family House
parcel-0302824340045,0302824340045,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,164000.0,212000.0,376000.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,6675.0,0.15,1908,,1520.0,728.0,,Single Family House
parcel-0302824410085,0302824410085,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,76000.0,174400.0,250400.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,5394.0,0.12,1911,,997.0,709.0,,Single Family House
parcel-0302824410094,0302824410094,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,76000.0,130200.0,206200.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,5394.0,0.12,1908,,1804.0,1016.0,,Single Family House
parcel-0302824420006,0302824420006,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,74000.0,176000.0,250000.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,5412.0,0.12,1976,,1288.0,644.0,,Single Family House
parcel-0302824420008,0302824420008,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,59000.0,238100.0,297100.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,5421.0,0.12,1924,,1603.0,1175.0,,Single Family House
parcel-0302824420026,0302824420026,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,59000.0,208300.0,267300.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,5420.0,0.12,1910,,1098.0,588.0,,Single Family House
parcel-0302824420039,0302824420039,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,59000.0,157000.0,216000.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,5444.0,0.12,1924,,1568.0,980.0,,Single Family House
parcel-0302824420065,0302824420065,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,88000.0,117800.0,205800.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,5153.0,0.12,1924,,1245.0,,,Single Family House
parcel-0302824420102,0302824420102,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,88000.0,143000.0,231000.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,5155.0,0.12,1906,,1541.0,,,Single Family House
parcel-0302824420113,0302824420113,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,75000.0,166900.0,241900.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,5319.0,0.12,1904,,1238.0,728.0,,Single Family House
parcel-0302824430094,0302824430094,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,87000.0,130600.0,217600.0,2026,2025,,Residential | Municipal Property,Corridor Mixed Use,,5043.0,0.12,1909,,1248.0,,,Single Family House
parcel-0302824430103,0302824430103,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,93000.0,172500.0,265500.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,4998.0,0.11,1902,,1268.0,764.0,,Single Family House
parcel-0302824440028,0302824440028,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,25000.0,,25000.0,2026,2025,,Vacant Land - Residential | Special Taxing Districts,Urban Neighborhood 3,,5235.0,0.12,,,,,,
parcel-0302824440030,0302824440030,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,70000.0,182700.0,252700.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 3,,5235.0,0.12,1909,,1069.0,588.0,,Single Family House
parcel-0302824440052,0302824440052,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,74000.0,141000.0,215000.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,5179.0,0.12,1925,,1008.0,768.0,,Single Family House
parcel-0302924320055,0302924320055,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,22000.0,139000.0,161000.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 3,,6252.0,0.14,1983,,936.0,,,Single Family House
