property_id,parcel_id,source_ids,sale_date,sale_value,assessed_land_value,assessed_building_value,assessed_total_value,tax_year,market_year,total_tax,use_classes,zoning,land_use,parcel_area_sqft,acres,year_built,finished_sqft,above_ground_area,below_ground_area,total_units,building_use
parcel-1602924110045,1602924110045,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,16000.0,146900.0,162900.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 3,,7845.0,0.18,1972,,864.0,864.0,,Single Family House
parcel-1602924130066,1602924130066,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,18000.0,280100.0,298100.0,2026,2025,,Double Bungalow | Special Taxing Districts,Urban Neighborhood 3,,8636.0,0.2,1976,,2291.0,,,Duplex
parcel-1602924140047,1602924140047,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,18000.0,267200.0,285200.0,2026,2025,,Double Bungalow | Municipal Property,Urban Neighborhood 2,,7845.0,0.18,1976,,2270.0,1075.0,,Duplex
parcel-1602924210016,1602924210016,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,16000.0,161200.0,177200.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,5728.0,0.13,1976,,1288.0,644.0,,Single Family House
parcel-1602924210029,1602924210029,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,16000.0,243700.0,259700.0,2026,2025,,Double Bungalow | Special Taxing Districts,Urban Neighborhood 2,,5497.0,0.13,1977,,1736.0,896.0,,Duplex
parcel-1602924210182,1602924210182,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,16000.0,189500.0,205500.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,5741.0,0.13,1920,,1500.0,750.0,,Single Family House
parcel-1602924220011,1602924220011,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,39700.0,,39700.0,2026,2025,,Vacant Land - Apartment | Special Taxing Districts,Urban Neighborhood 2,,5670.0,0.13,,,,,,
parcel-1602924220012,1602924220012,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,2022-11-01,6300.0,39700.0,479300.0,519000.0,2026,2025,,Apartment | Municipal Property,Urban Neighborhood 2,,5670.0,0.13,2023,,6740.0,,4,Apartment 4 or 5 Unit
parcel-1602924220018,1602924220018,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,15000.0,192000.0,207000.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,5669.0,0.13,1909,,1417.0,741.0,,Single Family House
parcel-1602924220046,1602924220046,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,16000.0,169000.0,185000.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,5695.0,0.13,1983,,1264.0,664.0,,Single Family House
parcel-1602924220056,1602924220056,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,16000.0,264500.0,280500.0,2026,2025,,Double Bungalow | Special Taxing Districts,Urban Neighborhood 2,,5500.0,0.13,1978,,1736.0,896.0,,Duplex
parcel-1602924220143,1602924220143,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,15000.0,218200.0,233200.0,2026,2025,,Double Bungalow | Special Taxing Districts,Urban Neighborhood 2,,5601.0,0.13,1977,,1736.0,,,Duplex
parcel-1602924230107,1602924230107,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,16000.0,252000.0,268000.0,2026,2025,,Double Bungalow | Special Taxing Districts,Urban Neighborhood 2,,6578.0,0.15,1980,,2220.0,,,Duplex
parcel-1602924230126,1602924230126,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,16000.0,194200.0,210200.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,5652.0,0.13,1928,,1524.0,1092.0,,Single Family House
parcel-1602924240003,1602924240003,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,15000.0,173900.0,188900.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,4760.0,0.11,1921,,1248.0,624.0,,Single Family House
parcel-1602924240045,1602924240045,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,16000.0,168700.0,184700.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,5792.0,0.13,1971,,1118.0,,,Single Family House
parcel-1602924240094,1602924240094,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,16000.0,244900.0,260900.0,2026,2025,,Double Bungalow | Special Taxing Districts,Urban Neighborhood 2,,5617.0,0.13,1977,,1736.0,896.0,,Duplex
parcel-1602924240106,1602924240106,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,15000.0,158700.0,173700.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,4864.0,0.11,1971,,1040.0,1040.0,,Single Family House
parcel-1602924240122,1602924240122,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,15000.0,201400.0,216400.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,5493.0,0.13,1983,,1332.0,,,Single Family House
parcel-1602924240141,1602924240141,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,15000.0,194700.0,209700.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,5625.0,0.13,1983,,1257.0,,,Single Family House
parcel-1602924310017,1602924310017,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,26000.0,194000.0,220000.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,5158.0,0.12,1920,,1588.0,1588.0,,Single Family House
parcel-1602924310028,1602924310028,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,25000.0,201500.0,226500.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,4972.0,0.11,1914,,1568.0,784.0,,Single Family House
parcel-1602924310093,1602924310093,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,19000.0,374400.0,393400.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,7547.0,0.17,1914,,2448.0,1440.0,,Single Family House
parcel-1602924320119,1602924320119,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,16000.0,251400.0,267400.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,4984.0,0.11,1921,,1792.0,1376.0,,Single Family House
parcel-1602924320134,1602924320134,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,16000.0,181300.0,197300.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,4988.0,0.11,1911,,1403.0,888.0,,Single Family House
parcel-1602924320148,1602924320148,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,41900.0,730100.0,772000.0,2026,2025,,Apartment | Special Taxing Districts,Residence Goods and Services,,5986.0,0.14,2023,,10032.0,,6,Apartment 6+ Unit
parcel-1602924320149,1602924320149,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,18400.0,,18400.0,2026,2025,,Vacant Land - Apartment | Special Taxing Districts,Residence Goods and Services,,5910.0,0.14,,,,,,
parcel-1602924330040,1602924330040,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,16000.0,204300.0,220300.0,2026,2025,,Residential | Special Taxing Districts,Urban Neighborhood 2,,5482.0,0.13,1911,,1410.0,734.0,,Single Family House
