event_id,property_id,event_date,event_type,old_value,new_value,source_id,public_note
chg-estimated_unit_count_changed-2025-parcel-0102924110108,parcel-0102924110108,2025-01-01,estimated_unit_count_changed,1,,minneapolis_assessing_parcels_2025,Minneapolis assessing records show an estimated unit count change between 2024 and 2025.
chg-owner_name_changed-2025-parcel-0102924110143,parcel-0102924110143,2025-01-01,owner_name_changed,COMMUNITY HOUSING RESOURCES,MPLS PUBLIC HOUSING AUTHORITY MPHA,minneapolis_assessing_parcels_2025,Minneapolis assessing records show an owner name change between 2024 and 2025.
chg-taxpayer_name_changed-2025-parcel-0102924110143,parcel-0102924110143,2025-01-01,taxpayer_name_changed,COMMUNITY HOUSING RESOURCES | ATTN COMPTROLLERS OFFICE | 1001 WASHINGTON AVE N | MINNEAPOLIS MN 55401,,minneapolis_assessing_parcels_2025,Minneapolis assessing records show a taxpayer name change between 2024 and 2025.
chg-property_type_changed-2025-parcel-0102924110143,parcel-0102924110143,2025-01-01,property_type_changed,RESIDENTIAL,RESIDENTIAL 1 UNIT,minneapolis_assessing_parcels_2025,Minneapolis assessing records show a property classification change between 2024 and 2025.
chg-estimated_unit_count_changed-2025-parcel-0102924110143,parcel-0102924110143,2025-01-01,estimated_unit_count_changed,1,,minneapolis_assessing_parcels_2025,Minneapolis assessing records show an estimated unit count change between 2024 and 2025.
chg-owner_name_changed-2025-parcel-0102924120018,parcel-0102924120018,2025-01-01,owner_name_changed,COMMUNITY HOUSING RESOURCES,MPLS PUBLIC HOUSING AUTHORITY MPHA,minneapolis_assessing_parcels_2025,Minneapolis assessing records show an owner name change between 2024 and 2025.
chg-taxpayer_name_changed-2025-parcel-0102924120018,parcel-0102924120018,2025-01-01,taxpayer_name_changed,COMMUNITY HOUSING RESOURCES | ATTN COMPTROLLERS OFFICE | 1001 WASHINGTON AVE N | MINNEAPOLIS MN 55401,,minneapolis_assessing_parcels_2025,Minneapolis assessing records show a taxpayer name change between 2024 and 2025.
chg-property_type_changed-2025-parcel-0102924120018,parcel-0102924120018,2025-01-01,property_type_changed,RESIDENTIAL,RESIDENTIAL 1 UNIT,minneapolis_assessing_parcels_2025,Minneapolis assessing records show a property classification change between 2024 and 2025.
chg-estimated_unit_count_changed-2025-parcel-0102924120018,parcel-0102924120018,2025-01-01,estimated_unit_count_changed,1,,minneapolis_assessing_parcels_2025,Minneapolis assessing records show an estimated unit count change between 2024 and 2025.
chg-owner_name_changed-2025-parcel-0102924210078,parcel-0102924210078,2025-01-01,owner_name_changed,COMMUNITY HOUSING RESOURCES,MPLS PUBLIC HOUSING AUTHORITY MPHA,minneapolis_assessing_parcels_2025,Minneapolis assessing records show an owner name change between 2024 and 2025.
chg-taxpayer_name_changed-2025-parcel-0102924210078,parcel-0102924210078,2025-01-01,taxpayer_name_changed,COMMUNITY HOUSING RESOURCES | ATTN COMPTROLLERS OFFICE | 1001 WASHINGTON AVE N | MINNEAPOLIS MN 55401,,minneapolis_assessing_parcels_2025,Minneapolis assessing records show a taxpayer name change between 2024 and 2025.
chg-property_type_changed-2025-parcel-0102924210078,parcel-0102924210078,2025-01-01,property_type_changed,RESIDENTIAL,RESIDENTIAL 1 UNIT,minneapolis_assessing_parcels_2025,Minneapolis assessing records show a property classification change between 2024 and 2025.
chg-estimated_unit_count_changed-2025-parcel-0102924210078,parcel-0102924210078,2025-01-01,estimated_unit_count_changed,1,,minneapolis_assessing_parcels_2025,Minneapolis assessing records show an estimated unit count change between 2024 and 2025.
chg-owner_name_changed-2025-parcel-0102924220126,parcel-0102924220126,2025-01-01,owner_name_changed,COMMUNITY HOUSING RESOURCES,MPLS PUBLIC HOUSING AUTHORITY MPHA,minneapolis_assessing_parcels_2025,Minneapolis assessing records show an owner name change between 2024 and 2025.
chg-taxpayer_name_changed-2025-parcel-0102924220126,parcel-0102924220126,2025-01-01,taxpayer_name_changed,COMMUNITY HOUSING RESOURCES | ATTN COMPTROLLERS OFFICE | 1001 WASHINGTON AVE N | MINNEAPOLIS MN 55401,,minneapolis_assessing_parcels_2025,Minneapolis assessing records show a taxpayer name change between 2024 and 2025.
chg-property_type_changed-2025-parcel-0102924220126,parcel-0102924220126,2025-01-01,property_type_changed,RESIDENTIAL,RESIDENTIAL 1 UNIT,minneapolis_assessing_parcels_2025,Minneapolis assessing records show a property classification change between 2024 and 2025.
chg-estimated_unit_count_changed-2025-parcel-0102924220126,parcel-0102924220126,2025-01-01,estimated_unit_count_changed,1,,minneapolis_assessing_parcels_2025,Minneapolis assessing records show an estimated unit count change between 2024 and 2025.
chg-owner_name_changed-2025-parcel-0102924230079,parcel-0102924230079,2025-01-01,owner_name_changed,COMMUNITY HOUSING RESOURCES,MPLS PUBLIC HOUSING AUTHORITY MPHA,minneapolis_assessing_parcels_2025,Minneapolis assessing records show an owner name change between 2024 and 2025.
